Position [m]	Sabre [mm/m]	Band width [mm]
18.05	0.35	12.02
18.07	0.35	12.02
18.10	0.35	12.01
18.12	0.35	12.01
18.15	0.36	12.01
18.17	0.35	12.02
18.19	0.35	12.01
18.22	0.35	12.01
18.24	0.34	12.01
18.27	0.35	12.01
18.29	0.35	12.02
18.32	0.35	12.01
18.34	0.34	12.01
18.36	0.33	12.01
18.39	0.34	12.01
18.41	0.35	12.01
18.44	0.35	12.01
18.46	0.34	12.01
18.49	0.33	12.02
18.51	0.33	12.01
18.53	0.33	12.01
18.56	0.34	12.01
18.58	0.34	12.01
18.61	0.34	12.01
18.63	0.33	12.01
18.66	0.34	12.01
18.68	0.34	12.01
18.70	0.32	12.02
18.73	0.32	12.02
18.75	0.32	12.02
18.78	0.33	12.01
18.80	0.34	12.01
18.83	0.32	12.02
18.85	0.32	12.01
18.87	0.32	12.01
18.90	0.32	12.02
18.92	0.32	12.01
18.95	0.32	12.01
18.97	0.32	12.01
19.00	0.32	12.01
19.02	0.32	12.01
19.04	0.31	12.01
19.07	0.32	12.01
19.09	0.31	12.02
19.12	0.32	12.01
19.14	0.32	12.01
19.17	0.31	12.02
19.19	0.31	12.02
19.21	0.31	12.02
19.24	0.31	12.02
19.26	0.31	12.02
19.29	0.31	12.01
19.31	0.30	12.01
19.34	0.31	12.02
19.36	0.33	12.01
19.38	0.31	12.02
19.41	0.31	12.02
19.43	0.31	12.02
19.46	0.31	12.01
19.48	0.32	12.02
19.51	0.31	12.01
19.53	0.32	12.02
19.55	0.32	12.01
19.58	0.31	12.01
19.60	0.31	12.02
19.63	0.32	12.01
19.65	0.31	12.02
19.68	0.30	12.01
19.70	0.31	12.02
19.72	0.31	12.02
19.75	0.32	12.02
19.77	0.32	12.01
19.80	0.31	12.02
19.82	0.31	12.02
19.85	0.30	12.01
19.87	0.31	12.02
19.89	0.31	12.02
19.92	0.31	12.01
19.94	0.31	12.02
19.97	0.30	12.02
19.99	0.31	12.02
20.02	0.32	12.01
20.04	0.31	12.02
20.06	0.30	12.01
20.09	0.31	12.02
20.11	0.32	12.02
20.14	0.32	12.02
20.16	0.31	12.02
20.19	0.30	12.02
20.21	0.31	12.02
20.23	0.31	12.02
20.26	0.32	12.01
20.28	0.32	12.02
20.31	0.32	12.01
20.33	0.32	12.01
20.36	0.32	12.01
20.38	0.32	12.02
20.41	0.32	12.01
20.43	0.31	12.02
20.45	0.32	12.01
20.48	0.34	12.01
20.50	0.32	12.02
20.53	0.32	12.01
20.55	0.32	12.01
20.58	0.32	12.02
20.60	0.32	12.02
20.62	0.32	12.01
20.65	0.32	12.02
20.67	0.32	12.02
20.70	0.32	12.01
20.72	0.32	12.02
20.75	0.32	12.01
20.77	0.32	12.01
20.79	0.31	12.02
20.82	0.32	12.02
20.84	0.33	12.01
20.87	0.33	12.01
20.89	0.32	12.01
20.92	0.31	12.02
20.94	0.32	12.01
20.96	0.32	12.01
20.99	0.32	12.02
21.01	0.32	12.02
21.04	0.32	12.01
21.06	0.32	12.02
21.09	0.31	12.01
21.11	0.32	12.01
21.13	0.32	12.02
21.16	0.32	12.01
21.18	0.32	12.01
