"Date Time" Tape_Tension_[N] Thickness_[x] Encoder_Pos_[m] 
"03.02.2021 09:24:26,456" -5,630172 7,935996 4,184517 
"03.02.2021 09:24:26,582" -5,614969 7,936048 4,208878 
"03.02.2021 09:24:26,707" -5,650751 7,936086 4,233148 
"03.02.2021 09:24:26,831" -5,667495 7,936074 4,257242 
"03.02.2021 09:24:26,957" -5,638121 7,936316 4,281646 
"03.02.2021 09:24:27,082" -5,640898 7,936061 4,305840 
"03.02.2021 09:24:27,207" -5,646711 7,936158 4,330092 
"03.02.2021 09:24:27,331" -5,644250 7,936140 4,354163 
"03.02.2021 09:24:27,457" -5,633849 7,936021 4,378659 
"03.02.2021 09:24:27,581" -5,610344 7,936063 4,402802 
"03.02.2021 09:24:27,706" -5,628370 7,936128 4,427150 
"03.02.2021 09:24:27,831" -5,648782 7,936093 4,451400 
"03.02.2021 09:24:27,956" -5,632772 7,936078 4,475740 
"03.02.2021 09:24:28,083" -5,658654 7,936043 4,500298 
"03.02.2021 09:24:28,207" -5,640972 7,936078 4,524382 
"03.02.2021 09:24:28,332" -5,643972 7,936097 4,548720 
"03.02.2021 09:24:28,458" -5,638976 7,936125 4,573111 
"03.02.2021 09:24:28,582" -5,642765 7,936117 4,597069 
"03.02.2021 09:24:28,708" -5,614301 7,936359 4,621470 
"03.02.2021 09:24:28,832" -5,637833 7,936340 4,645539 
"03.02.2021 09:24:28,958" -5,631695 7,936115 4,670045 
"03.02.2021 09:24:29,083" -5,629735 7,936037 4,694357 
"03.02.2021 09:24:29,208" -5,626606 7,936045 4,718698 
"03.02.2021 09:24:29,332" -5,651977 7,935985 4,742793 
"03.02.2021 09:24:29,458" -5,631212 7,936006 4,767320 
"03.02.2021 09:24:29,583" -5,617839 7,935963 4,791631 
"03.02.2021 09:24:29,708" -5,636542 7,935946 4,815918 
"03.02.2021 09:24:29,832" -5,632846 7,935922 4,840100 
"03.02.2021 09:24:29,958" -5,607243 7,936037 4,864609 
"03.02.2021 09:24:30,082" -5,633394 7,936032 4,888738 
"03.02.2021 09:24:30,206" -5,648179 7,936100 4,912764 
"03.02.2021 09:24:30,332" -5,659583 7,935972 4,937289 
"03.02.2021 09:24:30,456" -5,676958 7,935872 4,961378 
"03.02.2021 09:24:30,582" -5,679847 7,936024 4,985870 
"03.02.2021 09:24:30,708" -5,685976 7,935946 5,010357 
"03.02.2021 09:24:30,831" -5,682958 7,936093 5,034285 
"03.02.2021 09:24:30,956" -5,664449 7,936082 5,058576 
"03.02.2021 09:24:31,082" -5,689291 7,936082 5,083054 
"03.02.2021 09:24:31,206" -5,666204 7,936006 5,107140 
"03.02.2021 09:24:31,332" -5,675584 7,936050 5,131603 
"03.02.2021 09:24:31,456" -5,663493 7,935924 5,155617 
"03.02.2021 09:24:31,582" -5,688632 7,935982 5,180024 
"03.02.2021 09:24:31,706" -5,689988 7,936047 5,204040 
"03.02.2021 09:24:31,831" -5,700621 7,936091 5,228279 
"03.02.2021 09:24:31,956" -5,688520 7,936108 5,252504 
"03.02.2021 09:24:32,081" -5,681119 7,935993 5,276760 
"03.02.2021 09:24:32,207" -5,661784 7,936022 5,301249 
"03.02.2021 09:24:32,332" -5,668990 7,936024 5,325510 
"03.02.2021 09:24:32,456" -5,693192 7,936045 5,349657 
"03.02.2021 09:24:32,581" -5,683914 7,935985 5,373924 
"03.02.2021 09:24:32,706" -5,697770 7,936063 5,398209 
"03.02.2021 09:24:32,831" -5,690434 7,936128 5,422621 
