Position [m]	Intensity	Int_Area	Int_Edge1	Int_Edge2	Position Sensor [m]	Temperature Sensor 1 [°C]	Temperature Sensor 2 [°C]
-20.65					155.65	43.21	42.12
-20.58					156.00	43.21	42.11
-20.58					156.35	43.21	42.12
-20.51					156.70	43.21	42.11
-20.51					157.04	43.21	42.11
-20.44					157.39	43.20	42.11
-20.44					157.74	43.20	42.11
-20.37					158.08	43.20	42.10
-20.37					158.43	43.20	42.10
-20.30					158.78	43.20	42.10
-20.30					159.13	43.19	42.10
-20.23					159.47	43.19	42.10
-20.17					159.82	43.19	42.09
-20.17					160.17	43.24	42.15
-20.10					160.51	43.24	42.15
-20.10					160.86	43.24	42.14
-20.03					161.21	43.24	42.14
-20.03					161.55	43.24	42.14
-19.96					161.90	43.23	42.14
-19.96					162.25	43.23	42.14
-19.89					162.59	43.23	42.13
-19.89					162.94	43.22	42.13
-19.82					163.29	43.23	42.13
-19.82					163.64	43.22	42.12
-19.75					163.98	43.22	42.12
-19.75					164.33	43.21	42.12
-19.69					164.68	43.21	42.12
-19.69					165.02	43.21	42.12
-19.62					165.37	43.21	42.12
-19.62					165.72	43.21	42.11
-19.55					166.06	43.21	42.11
-19.55					166.41	43.26	42.17
-19.48	180.00	370.00	93.53	118.06	166.76	43.26	42.16
-19.48	162.00	79.00	82.82	108.44	167.10	43.26	42.16
-19.41	160.00	18.00	83.29	97.67	167.45	43.26	42.16
-19.41	146.00	1.00	77.24	93.21	167.80	43.25	42.16
-19.34	138.00	6.00	71.48	91.35	168.15	43.25	42.16
-19.34	133.00	29.00	68.65	91.73	168.49	43.25	42.15
-19.27	132.00	0.00	69.56	84.02	168.84	43.24	42.15
-19.27	129.00	3.00	66.06	83.30	169.19	43.25	42.15
-19.20	122.00	1.00	58.35	82.42	169.53	43.24	42.14
-19.20	119.00	13.00	56.98	78.76	169.88	43.24	42.14
-19.14	112.00	0.00	57.34	71.29	170.23	43.24	42.14
-19.14	110.00	3.00	54.73	70.01	170.57	43.24	42.14
-19.07	107.00	0.00	51.74	69.48	170.92	43.24	42.14
-19.07	104.00	4.00	51.73	70.13	171.27	43.23	42.14
-19.00	99.00	9.00	47.84	65.95	171.62	43.23	42.14
-19.00	94.00	0.00	43.46	59.96	171.96	43.23	42.13
-18.93	89.00	1.00	40.62	56.96	172.31	43.23	42.13
-18.93	87.00	0.00	40.48	56.73	172.66	43.29	42.19
